




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (702)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of T cell activation (GO:0050863)	377	44	12.85	+	3.42	1.55E-11	3.81E-09
rRNA processing (GO:0006364)	223	26	7.60	+	3.42	2.37E-07	2.16E-05
response to hydrogen peroxide (GO:0042542)	103	12	3.51	+	3.42	4.17E-04	1.37E-02
regulation of lymphocyte proliferation (GO:0050670)	242	28	8.25	+	3.39	9.46E-08	9.64E-06
positive regulation of protein ubiquitination (GO:0031398)	121	14	4.13	+	3.39	1.52E-04	5.88E-03
biological process involved in interaction with host (GO:0051701)	156	18	5.32	+	3.38	1.89E-05	9.94E-04
regulation of leukocyte mediated cytotoxicity (GO:0001910)	87	10	2.97	+	3.37	1.36E-03	3.59E-02
cell cycle G1/S phase transition (GO:0044843)	87	10	2.97	+	3.37	1.36E-03	3.59E-02
ribonucleoprotein complex subunit organization (GO:0071826)	209	24	7.13	+	3.37	8.77E-07	6.71E-05
positive regulation of leukocyte mediated immunity (GO:0002705)	140	16	4.77	+	3.35	6.01E-05	2.66E-03
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	140	16	4.77	+	3.35	6.01E-05	2.65E-03
mononuclear cell migration (GO:0071674)	114	13	3.89	+	3.34	2.94E-04	1.02E-02
response to unfolded protein (GO:0006986)	123	14	4.19	+	3.34	1.78E-04	6.71E-03
regulation of mononuclear cell proliferation (GO:0032944)	246	28	8.39	+	3.34	1.29E-07	1.27E-05
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	167	19	5.69	+	3.34	1.34E-05	7.39E-04
electron transport chain (GO:0022900)	167	19	5.69	+	3.34	1.34E-05	7.36E-04
maintenance of location (GO:0051235)	176	20	6.00	+	3.33	8.12E-06	4.72E-04
protein folding (GO:0006457)	221	25	7.54	+	3.32	6.70E-07	5.34E-05
viral life cycle (GO:0019058)	178	20	6.07	+	3.30	9.45E-06	5.39E-04
regulation of mononuclear cell migration (GO:0071675)	125	14	4.26	+	3.28	2.07E-04	7.65E-03
regulation of production of molecular mediator of immune response (GO:0002700)	189	21	6.44	+	3.26	6.66E-06	3.99E-04
regulation of leukocyte proliferation (GO:0070663)	271	30	9.24	+	3.25	8.04E-08	8.52E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	253	28	8.63	+	3.25	2.18E-07	2.02E-05
cellular respiration (GO:0045333)	190	21	6.48	+	3.24	7.17E-06	4.25E-04
positive regulation of myeloid cell differentiation (GO:0045639)	100	11	3.41	+	3.23	1.10E-03	3.09E-02
positive regulation of leukocyte differentiation (GO:1902107)	183	20	6.24	+	3.21	1.37E-05	7.48E-04
positive regulation of hemopoiesis (GO:1903708)	183	20	6.24	+	3.21	1.37E-05	7.45E-04
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	129	14	4.40	+	3.18	2.78E-04	9.72E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	166	18	5.66	+	3.18	4.00E-05	1.86E-03
ATP metabolic process (GO:0046034)	157	17	5.35	+	3.18	6.61E-05	2.88E-03
positive regulation of lymphocyte differentiation (GO:0045621)	131	14	4.47	+	3.13	3.21E-04	1.10E-02
regulation of lymphocyte mediated immunity (GO:0002706)	178	19	6.07	+	3.13	3.01E-05	1.49E-03
positive regulation of cell adhesion (GO:0045785)	488	52	16.64	+	3.13	4.91E-12	1.48E-09
rRNA metabolic process (GO:0016072)	254	27	8.66	+	3.12	7.37E-07	5.80E-05
nucleoside triphosphate metabolic process (GO:0009141)	207	22	7.06	+	3.12	7.74E-06	4.51E-04
regulation of cell division (GO:0051302)	189	20	6.44	+	3.10	2.10E-05	1.10E-03
negative regulation of immune effector process (GO:0002698)	123	13	4.19	+	3.10	5.72E-04	1.81E-02
lymphocyte mediated immunity (GO:0002449)	257	27	8.76	+	3.08	9.07E-07	6.90E-05
organonitrogen compound biosynthetic process (GO:1901566)	1333	140	45.45	+	3.08	5.76E-31	1.13E-27
purine ribonucleoside triphosphate metabolic process (GO:0009205)	182	19	6.21	+	3.06	3.97E-05	1.85E-03
regeneration (GO:0031099)	154	16	5.25	+	3.05	1.66E-04	6.37E-03
positive regulation of chromosome organization (GO:2001252)	106	11	3.61	+	3.04	1.69E-03	4.36E-02
positive regulation of production of molecular mediator of immune response (GO:0002702)	135	14	4.60	+	3.04	4.24E-04	1.39E-02
regulation of leukocyte migration (GO:0002685)	232	24	7.91	+	3.03	4.62E-06	2.91E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	127	13	4.33	+	3.00	7.52E-04	2.24E-02
purine nucleoside triphosphate metabolic process (GO:0009144)	187	19	6.38	+	2.98	5.55E-05	2.49E-03
purine ribonucleotide biosynthetic process (GO:0009152)	197	20	6.72	+	2.98	3.61E-05	1.72E-03
regulation of T cell differentiation (GO:0045580)	179	18	6.10	+	2.95	9.75E-05	4.07E-03
ribonucleoside triphosphate metabolic process (GO:0009199)	189	19	6.44	+	2.95	6.33E-05	2.76E-03
regulation of lymphocyte differentiation (GO:0045619)	210	21	7.16	+	2.93	2.85E-05	1.43E-03
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	190	19	6.48	+	2.93	6.75E-05	2.92E-03
T cell activation (GO:0042110)	300	30	10.23	+	2.93	5.91E-07	4.73E-05
biological process involved in symbiotic interaction (GO:0044403)	261	26	8.90	+	2.92	3.52E-06	2.33E-04
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	252	25	8.59	+	2.91	5.77E-06	3.52E-04
lymphocyte activation (GO:0046649)	465	46	15.85	+	2.90	7.99E-10	1.38E-07
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	182	18	6.21	+	2.90	1.18E-04	4.75E-03
negative regulation of mitotic cell cycle (GO:0045930)	213	21	7.26	+	2.89	3.45E-05	1.67E-03
meiotic nuclear division (GO:0140013)	173	17	5.90	+	2.88	1.94E-04	7.26E-03
ribonucleoprotein complex biogenesis (GO:0022613)	449	44	15.31	+	2.87	2.45E-09	3.77E-07
purine nucleotide biosynthetic process (GO:0006164)	205	20	6.99	+	2.86	6.01E-05	2.65E-03
cell cycle process (GO:0022402)	841	82	28.67	+	2.86	2.40E-16	1.39E-13
positive regulation of apoptotic process (GO:0043065)	503	49	17.15	+	2.86	3.56E-10	6.56E-08
positive regulation of lymphocyte activation (GO:0051251)	421	41	14.35	+	2.86	1.02E-08	1.38E-06
regulation of cell-cell adhesion (GO:0022407)	484	47	16.50	+	2.85	9.05E-10	1.54E-07
protein-containing complex disassembly (GO:0032984)	134	13	4.57	+	2.85	1.18E-03	3.21E-02
response to topologically incorrect protein (GO:0035966)	145	14	4.94	+	2.83	8.13E-04	2.40E-02
positive regulation of cell cycle (GO:0045787)	353	34	12.04	+	2.82	2.37E-07	2.15E-05
regulation of adaptive immune response (GO:0002819)	198	19	6.75	+	2.81	1.11E-04	4.54E-03
positive regulation of translation (GO:0045727)	146	14	4.98	+	2.81	8.65E-04	2.52E-02
response to reactive oxygen species (GO:0000302)	167	16	5.69	+	2.81	3.84E-04	1.27E-02
viral process (GO:0016032)	251	24	8.56	+	2.80	1.55E-05	8.32E-04
positive regulation of programmed cell death (GO:0043068)	516	49	17.59	+	2.79	7.83E-10	1.36E-07
meiotic cell cycle process (GO:1903046)	190	18	6.48	+	2.78	1.94E-04	7.25E-03
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	148	14	5.05	+	2.77	9.76E-04	2.77E-02
ribonucleotide biosynthetic process (GO:0009260)	212	20	7.23	+	2.77	9.20E-05	3.87E-03
regulation of RNA splicing (GO:0043484)	181	17	6.17	+	2.75	3.17E-04	1.09E-02
positive regulation of leukocyte activation (GO:0002696)	469	44	15.99	+	2.75	8.20E-09	1.15E-06
regulation of mitotic cell cycle phase transition (GO:1901990)	332	31	11.32	+	2.74	1.47E-06	1.07E-04
regulation of lymphocyte activation (GO:0051249)	591	55	20.15	+	2.73	1.38E-10	2.88E-08
purine-containing compound biosynthetic process (GO:0072522)	216	20	7.36	+	2.72	1.16E-04	4.70E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1588	147	54.14	+	2.71	3.07E-27	4.82E-24
leukocyte differentiation (GO:0002521)	400	37	13.64	+	2.71	1.78E-07	1.66E-05
regulation of leukocyte differentiation (GO:1902105)	316	29	10.77	+	2.69	4.36E-06	2.78E-04
ribose phosphate biosynthetic process (GO:0046390)	219	20	7.47	+	2.68	1.38E-04	5.37E-03
positive regulation of cell death (GO:0010942)	583	53	19.88	+	2.67	1.05E-09	1.77E-07
myeloid cell differentiation (GO:0030099)	264	24	9.00	+	2.67	3.30E-05	1.62E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	265	24	9.04	+	2.66	3.49E-05	1.68E-03
positive regulation of cell activation (GO:0050867)	486	44	16.57	+	2.66	2.16E-08	2.58E-06
leukocyte activation involved in immune response (GO:0002366)	188	17	6.41	+	2.65	4.74E-04	1.53E-02
positive regulation of immune effector process (GO:0002699)	267	24	9.10	+	2.64	3.90E-05	1.83E-03
leukocyte activation (GO:0045321)	581	52	19.81	+	2.62	2.00E-09	3.11E-07
lymphocyte differentiation (GO:0030098)	280	25	9.55	+	2.62	3.00E-05	1.49E-03
negative regulation of defense response (GO:0031348)	236	21	8.05	+	2.61	1.33E-04	5.23E-03
mononuclear cell differentiation (GO:1903131)	326	29	11.12	+	2.61	7.58E-06	4.43E-04
regulation of cell adhesion (GO:0030155)	789	70	26.90	+	2.60	2.97E-12	9.69E-10
cell activation involved in immune response (GO:0002263)	192	17	6.55	+	2.60	5.91E-04	1.85E-02
energy derivation by oxidation of organic compounds (GO:0015980)	261	23	8.90	+	2.58	7.41E-05	3.18E-03
regulation of cell cycle process (GO:0010564)	715	63	24.38	+	2.58	5.13E-11	1.12E-08
leukocyte migration (GO:0050900)	250	22	8.52	+	2.58	1.07E-04	4.40E-03
regulation of leukocyte activation (GO:0002694)	684	60	23.32	+	2.57	1.79E-10	3.59E-08
negative regulation of leukocyte activation (GO:0002695)	194	17	6.61	+	2.57	6.58E-04	2.01E-02
negative regulation of immune system process (GO:0002683)	434	38	14.80	+	2.57	5.45E-07	4.47E-05
regulation of innate immune response (GO:0045088)	240	21	8.18	+	2.57	1.64E-04	6.32E-03
regulation of mitotic cell cycle (GO:0007346)	493	43	16.81	+	2.56	9.53E-08	9.64E-06
leukocyte mediated immunity (GO:0002443)	310	27	10.57	+	2.55	3.32E-05	1.62E-03
B cell mediated immunity (GO:0019724)	196	17	6.68	+	2.54	7.32E-04	2.19E-02
response to hypoxia (GO:0001666)	277	24	9.44	+	2.54	1.05E-04	4.34E-03
response to alcohol (GO:0097305)	254	22	8.66	+	2.54	1.33E-04	5.22E-03
protein targeting (GO:0006605)	243	21	8.29	+	2.53	1.93E-04	7.22E-03
positive regulation of endopeptidase activity (GO:0010950)	174	15	5.93	+	2.53	1.55E-03	4.03E-02
regulation of immune effector process (GO:0002697)	386	33	13.16	+	2.51	4.67E-06	2.93E-04
macromolecule biosynthetic process (GO:0009059)	1487	127	50.70	+	2.50	1.43E-20	1.32E-17
regulation of apoptotic signaling pathway (GO:2001233)	364	31	12.41	+	2.50	9.90E-06	5.62E-04
response to oxygen levels (GO:0070482)	319	27	10.88	+	2.48	4.31E-05	1.99E-03
microtubule cytoskeleton organization (GO:0000226)	547	46	18.65	+	2.47	1.17E-07	1.16E-05
B cell activation (GO:0042113)	191	16	6.51	+	2.46	1.45E-03	3.81E-02
positive regulation of cytokine production (GO:0001819)	481	40	16.40	+	2.44	1.13E-06	8.40E-05
regulation of leukocyte mediated immunity (GO:0002703)	241	20	8.22	+	2.43	5.90E-04	1.86E-02
immune effector process (GO:0002252)	470	39	16.03	+	2.43	1.65E-06	1.17E-04
response to decreased oxygen levels (GO:0036293)	290	24	9.89	+	2.43	1.53E-04	5.90E-03
nucleotide biosynthetic process (GO:0009165)	268	22	9.14	+	2.41	3.24E-04	1.11E-02
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	208	17	7.09	+	2.40	1.85E-03	4.68E-02
cell cycle (GO:0007049)	1249	102	42.59	+	2.40	3.65E-15	1.55E-12
nucleoside phosphate biosynthetic process (GO:1901293)	270	22	9.21	+	2.39	3.47E-04	1.17E-02
negative regulation of organelle organization (GO:0010639)	345	28	11.76	+	2.38	5.31E-05	2.40E-03
regulation of protein stability (GO:0031647)	333	27	11.35	+	2.38	7.37E-05	3.18E-03
regulation of cell activation (GO:0050865)	741	60	25.27	+	2.37	3.46E-09	5.27E-07
regulation of hemopoiesis (GO:1903706)	398	32	13.57	+	2.36	2.51E-05	1.28E-03
negative regulation of cell cycle phase transition (GO:1901988)	224	18	7.64	+	2.36	1.46E-03	3.82E-02
hematopoietic or lymphoid organ development (GO:0048534)	710	57	24.21	+	2.35	1.14E-08	1.51E-06
regulation of cytokine production (GO:0001817)	742	59	25.30	+	2.33	7.90E-09	1.12E-06
immune system development (GO:0002520)	757	60	25.81	+	2.32	9.37E-09	1.30E-06
hemopoiesis (GO:0030097)	660	52	22.50	+	2.31	8.77E-08	9.17E-06
cellular component disassembly (GO:0022411)	318	25	10.84	+	2.31	3.15E-04	1.09E-02
positive regulation of immune system process (GO:0002684)	967	76	32.97	+	2.31	9.39E-11	2.02E-08
cell activation (GO:0001775)	700	55	23.87	+	2.30	5.78E-08	6.34E-06
regulation of intracellular protein transport (GO:0033157)	231	18	7.88	+	2.29	1.84E-03	4.66E-02
response to steroid hormone (GO:0048545)	284	22	9.68	+	2.27	5.91E-04	1.86E-02
positive regulation of cell migration (GO:0030335)	532	41	18.14	+	2.26	3.94E-06	2.54E-04
cellular response to cytokine stimulus (GO:0071345)	714	55	24.34	+	2.26	7.99E-08	8.52E-06
regulation of response to biotic stimulus (GO:0002831)	364	28	12.41	+	2.26	1.42E-04	5.53E-03
cellular response to chemical stress (GO:0062197)	273	21	9.31	+	2.26	8.51E-04	2.48E-02
response to cytokine (GO:0034097)	808	62	27.55	+	2.25	1.54E-08	1.93E-06
positive regulation of locomotion (GO:0040017)	574	44	19.57	+	2.25	1.76E-06	1.25E-04
regulation of cell cycle phase transition (GO:1901987)	431	33	14.70	+	2.25	3.49E-05	1.68E-03
establishment of organelle localization (GO:0051656)	379	29	12.92	+	2.24	1.12E-04	4.56E-03
positive regulation of protein localization (GO:1903829)	462	35	15.75	+	2.22	3.11E-05	1.54E-03
regulation of cell cycle (GO:0051726)	1122	85	38.26	+	2.22	3.56E-11	8.10E-09
regulation of translation (GO:0006417)	410	31	13.98	+	2.22	1.13E-04	4.56E-03
programmed cell death (GO:0012501)	1074	81	36.62	+	2.21	1.44E-10	2.97E-08
positive regulation of cell motility (GO:2000147)	558	42	19.03	+	2.21	6.61E-06	3.97E-04
regulation of cellular macromolecule biosynthetic process (GO:2000112)	493	37	16.81	+	2.20	1.94E-05	1.02E-03
cellular macromolecule metabolic process (GO:0044260)	2518	188	85.85	+	2.19	1.75E-24	2.49E-21
regulation of cellular amide metabolic process (GO:0034248)	469	35	15.99	+	2.19	3.74E-05	1.77E-03
apoptotic process (GO:0006915)	1033	77	35.22	+	2.19	6.72E-10	1.18E-07
protein-containing complex organization (GO:0043933)	1423	106	48.52	+	2.18	1.95E-13	7.29E-11
regulation of organelle organization (GO:0033043)	1189	88	40.54	+	2.17	4.29E-11	9.61E-09
positive regulation of cell population proliferation (GO:0008284)	949	70	32.36	+	2.16	7.37E-09	1.05E-06
negative regulation of catabolic process (GO:0009895)	326	24	11.12	+	2.16	7.25E-04	2.17E-02
negative regulation of cytokine production (GO:0001818)	286	21	9.75	+	2.15	1.75E-03	4.47E-02
protein-containing complex assembly (GO:0065003)	1270	93	43.30	+	2.15	1.92E-11	4.55E-09
response to inorganic substance (GO:0010035)	533	39	18.17	+	2.15	2.23E-05	1.15E-03
cell death (GO:0008219)	1108	81	37.78	+	2.14	5.04E-10	9.08E-08
gene expression (GO:0010467)	2314	169	78.90	+	2.14	8.39E-21	8.22E-18
microtubule-based process (GO:0007017)	809	59	27.58	+	2.14	1.59E-07	1.50E-05
negative regulation of cell cycle (GO:0045786)	359	26	12.24	+	2.12	7.08E-04	2.13E-02
negative regulation of cell adhesion (GO:0007162)	290	21	9.89	+	2.12	1.94E-03	4.86E-02
regulation of binding (GO:0051098)	374	27	12.75	+	2.12	5.37E-04	1.71E-02
cellular biosynthetic process (GO:0044249)	2464	177	84.01	+	2.11	5.18E-21	6.25E-18
gland development (GO:0048732)	422	30	14.39	+	2.09	2.77E-04	9.69E-03
organic substance biosynthetic process (GO:1901576)	2534	180	86.40	+	2.08	5.21E-21	5.84E-18
organelle assembly (GO:0070925)	803	57	27.38	+	2.08	6.92E-07	5.48E-05
regulation of apoptotic process (GO:0042981)	1468	104	50.05	+	2.08	6.51E-12	1.82E-09
purine ribonucleotide metabolic process (GO:0009150)	383	27	13.06	+	2.07	6.65E-04	2.02E-02
regulation of immune system process (GO:0002682)	1520	107	51.83	+	2.06	4.77E-12	1.50E-09
inflammatory response (GO:0006954)	540	38	18.41	+	2.06	7.19E-05	3.11E-03
positive regulation of response to external stimulus (GO:0032103)	455	32	15.51	+	2.06	2.50E-04	9.04E-03
regulation of defense response (GO:0031347)	642	45	21.89	+	2.06	1.62E-05	8.64E-04
regulation of programmed cell death (GO:0043067)	1498	105	51.08	+	2.06	9.87E-12	2.58E-09
biosynthetic process (GO:0009058)	2603	182	88.75	+	2.05	1.50E-20	1.31E-17
regulation of protein transport (GO:0051223)	502	35	17.12	+	2.04	1.26E-04	4.99E-03
positive regulation of proteolysis (GO:0045862)	373	26	12.72	+	2.04	9.65E-04	2.76E-02
positive regulation of transferase activity (GO:0051347)	590	41	20.12	+	2.04	3.68E-05	1.75E-03
negative regulation of response to external stimulus (GO:0032102)	391	27	13.33	+	2.03	1.19E-03	3.22E-02
positive regulation of gene expression (GO:0010628)	1151	79	39.24	+	2.01	1.33E-08	1.69E-06
regulation of establishment of protein localization (GO:0070201)	527	36	17.97	+	2.00	1.67E-04	6.37E-03
cytokine-mediated signaling pathway (GO:0019221)	366	25	12.48	+	2.00	1.52E-03	3.95E-02
regulation of protein localization (GO:0032880)	850	58	28.98	+	2.00	1.49E-06	1.08E-04
organelle localization (GO:0051640)	513	35	17.49	+	2.00	2.20E-04	8.05E-03
purine nucleotide metabolic process (GO:0006163)	396	27	13.50	+	2.00	1.28E-03	3.40E-02
regulation of response to external stimulus (GO:0032101)	973	66	33.18	+	1.99	4.05E-07	3.47E-05
protein localization to organelle (GO:0033365)	694	47	23.66	+	1.99	2.11E-05	1.10E-03
regulation of cell death (GO:0010941)	1654	112	56.39	+	1.99	1.24E-11	3.10E-09
cellular response to growth factor stimulus (GO:0071363)	477	32	16.26	+	1.97	5.67E-04	1.80E-02
response to growth factor (GO:0070848)	507	34	17.29	+	1.97	3.40E-04	1.15E-02
ribonucleotide metabolic process (GO:0009259)	404	27	13.77	+	1.96	1.48E-03	3.88E-02
negative regulation of cellular component organization (GO:0051129)	690	46	23.53	+	1.96	3.38E-05	1.64E-03
regulation of transferase activity (GO:0051338)	915	61	31.20	+	1.96	2.04E-06	1.42E-04
regulation of cellular localization (GO:0060341)	962	64	32.80	+	1.95	9.59E-07	7.23E-05
generation of precursor metabolites and energy (GO:0006091)	406	27	13.84	+	1.95	1.55E-03	4.03E-02
positive regulation of protein kinase activity (GO:0045860)	422	28	14.39	+	1.95	1.24E-03	3.32E-02
post-transcriptional regulation of gene expression (GO:0010608)	498	33	16.98	+	1.94	4.94E-04	1.59E-02
response to xenobiotic stimulus (GO:0009410)	423	28	14.42	+	1.94	1.85E-03	4.67E-02
cellular response to organic cyclic compound (GO:0071407)	514	34	17.53	+	1.94	5.72E-04	1.81E-02
negative regulation of protein modification process (GO:0031400)	503	33	17.15	+	1.92	7.88E-04	2.33E-02
immune system process (GO:0002376)	2429	159	82.82	+	1.92	3.45E-15	1.50E-12
negative regulation of gene expression (GO:0010629)	902	59	30.75	+	1.92	4.52E-06	2.86E-04
carbohydrate derivative biosynthetic process (GO:1901137)	599	39	20.42	+	1.91	2.59E-04	9.22E-03
positive regulation of intracellular signal transduction (GO:1902533)	999	65	34.06	+	1.91	1.55E-06	1.12E-04
positive regulation of organelle organization (GO:0010638)	508	33	17.32	+	1.91	8.34E-04	2.44E-02
positive regulation of protein modification process (GO:0031401)	1019	66	34.74	+	1.90	1.80E-06	1.26E-04
positive regulation of immune response (GO:0050778)	590	38	20.12	+	1.89	3.66E-04	1.22E-02
regulation of peptidase activity (GO:0052547)	452	29	15.41	+	1.88	1.75E-03	4.48E-02
positive regulation of kinase activity (GO:0033674)	499	32	17.01	+	1.88	1.18E-03	3.21E-02
positive regulation of protein metabolic process (GO:0051247)	1515	96	51.66	+	1.86	1.54E-08	1.92E-06
negative regulation of protein metabolic process (GO:0051248)	1042	66	35.53	+	1.86	3.58E-06	2.36E-04
cellular nitrogen compound metabolic process (GO:0034641)	3573	226	121.82	+	1.86	7.79E-21	8.15E-18
nucleoside phosphate metabolic process (GO:0006753)	525	33	17.90	+	1.84	1.55E-03	4.02E-02
localization within membrane (GO:0051668)	541	34	18.45	+	1.84	1.20E-03	3.22E-02
positive regulation of hydrolase activity (GO:0051345)	589	37	20.08	+	1.84	5.96E-04	1.87E-02
regulation of hydrolase activity (GO:0051336)	1020	64	34.78	+	1.84	6.70E-06	4.00E-04
response to organic cyclic compound (GO:0014070)	879	55	29.97	+	1.84	3.15E-05	1.55E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1602	100	54.62	+	1.83	1.55E-08	1.91E-06
positive regulation of protein phosphorylation (GO:0001934)	748	46	25.50	+	1.80	2.29E-04	8.34E-03
regulation of cell migration (GO:0030334)	929	57	31.68	+	1.80	4.87E-05	2.21E-03
cellular response to stress (GO:0033554)	1599	98	54.52	+	1.80	5.20E-08	5.91E-06
immune response (GO:0006955)	1621	99	55.27	+	1.79	4.33E-08	4.99E-06
regulation of cell motility (GO:2000145)	989	60	33.72	+	1.78	3.76E-05	1.77E-03
regulation of proteolysis (GO:0030162)	743	45	25.33	+	1.78	3.39E-04	1.15E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	595	36	20.29	+	1.77	1.41E-03	3.71E-02
response to lipid (GO:0033993)	843	51	28.74	+	1.77	1.63E-04	6.27E-03
DNA metabolic process (GO:0006259)	794	48	27.07	+	1.77	2.37E-04	8.57E-03
regulation of intracellular signal transduction (GO:1902531)	1721	104	58.68	+	1.77	3.07E-08	3.57E-06
cellular component biogenesis (GO:0044085)	2633	159	89.77	+	1.77	2.28E-12	7.61E-10
regulation of cell population proliferation (GO:0042127)	1674	101	57.08	+	1.77	6.63E-08	7.13E-06
regulation of protein metabolic process (GO:0051246)	2587	156	88.21	+	1.77	3.67E-12	1.17E-09
regulation of locomotion (GO:0040012)	1034	62	35.26	+	1.76	3.75E-05	1.77E-03
regulation of immune response (GO:0050776)	935	56	31.88	+	1.76	8.08E-05	3.45E-03
regulation of protein kinase activity (GO:0045859)	668	40	22.78	+	1.76	1.17E-03	3.21E-02
regulation of protein modification process (GO:0031399)	1563	93	53.29	+	1.75	4.10E-07	3.50E-05
positive regulation of catalytic activity (GO:0043085)	1194	71	40.71	+	1.74	1.40E-05	7.61E-04
response to organic substance (GO:0010033)	2704	160	92.20	+	1.74	9.03E-12	2.40E-09
cellular response to organic substance (GO:0071310)	2026	119	69.08	+	1.72	1.08E-08	1.44E-06
cellular component assembly (GO:0022607)	2394	140	81.63	+	1.72	5.01E-10	9.14E-08
cellular response to DNA damage stimulus (GO:0006974)	756	44	25.78	+	1.71	1.11E-03	3.12E-02
organelle organization (GO:0006996)	3026	176	103.17	+	1.71	1.80E-12	6.41E-10
positive regulation of phosphorylation (GO:0042327)	826	48	28.16	+	1.70	6.34E-04	1.95E-02
response to abiotic stimulus (GO:0009628)	1121	65	38.22	+	1.70	5.37E-05	2.42E-03
regulation of cellular component organization (GO:0051128)	2364	137	80.60	+	1.70	1.79E-09	2.86E-07
response to stress (GO:0006950)	3466	200	118.18	+	1.69	4.59E-14	1.80E-11
protein metabolic process (GO:0019538)	3920	226	133.66	+	1.69	4.21E-16	2.20E-13
cellular localization (GO:0051641)	2655	153	90.52	+	1.69	2.09E-10	4.05E-08
RNA processing (GO:0006396)	868	50	29.60	+	1.69	6.00E-04	1.87E-02
regulation of response to stress (GO:0080134)	1373	79	46.81	+	1.69	1.21E-05	6.75E-04
regulation of kinase activity (GO:0043549)	783	45	26.70	+	1.69	9.93E-04	2.82E-02
establishment of localization in cell (GO:0051649)	1752	100	59.74	+	1.67	7.89E-07	6.15E-05
protein catabolic process (GO:0030163)	756	43	25.78	+	1.67	1.63E-03	4.21E-02
defense response (GO:0006952)	1478	84	50.39	+	1.67	8.64E-06	4.98E-04
response to organonitrogen compound (GO:0010243)	968	55	33.00	+	1.67	4.18E-04	1.37E-02
negative regulation of apoptotic process (GO:0043066)	898	51	30.62	+	1.67	7.36E-04	2.20E-02
response to oxygen-containing compound (GO:1901700)	1551	88	52.88	+	1.66	5.03E-06	3.10E-04
carbohydrate derivative metabolic process (GO:1901135)	1005	57	34.27	+	1.66	2.81E-04	9.79E-03
negative regulation of programmed cell death (GO:0043069)	918	52	31.30	+	1.66	6.03E-04	1.88E-02
cell migration (GO:0016477)	903	51	30.79	+	1.66	7.63E-04	2.26E-02
regulation of catalytic activity (GO:0050790)	2373	134	80.91	+	1.66	1.19E-08	1.54E-06
cation transport (GO:0006812)	854	48	29.12	+	1.65	1.12E-03	3.12E-02
response to endogenous stimulus (GO:0009719)	1371	77	46.75	+	1.65	3.38E-05	1.64E-03
regulation of protein phosphorylation (GO:0001932)	1105	62	37.68	+	1.65	2.59E-04	9.21E-03
cellular response to endogenous stimulus (GO:0071495)	1107	62	37.74	+	1.64	2.62E-04	9.27E-03
positive regulation of phosphorus metabolic process (GO:0010562)	911	51	31.06	+	1.64	8.26E-04	2.43E-02
positive regulation of phosphate metabolic process (GO:0045937)	911	51	31.06	+	1.64	8.26E-04	2.43E-02
positive regulation of cellular component organization (GO:0051130)	1054	59	35.94	+	1.64	3.68E-04	1.22E-02
cellular response to chemical stimulus (GO:0070887)	2616	146	89.19	+	1.64	4.34E-09	6.42E-07
negative regulation of cell death (GO:0060548)	1022	57	34.85	+	1.64	4.35E-04	1.42E-02
macromolecule catabolic process (GO:0009057)	989	55	33.72	+	1.63	6.69E-04	2.03E-02
response to biotic stimulus (GO:0009607)	1478	82	50.39	+	1.63	2.44E-05	1.25E-03
response to other organism (GO:0051707)	1429	79	48.72	+	1.62	4.73E-05	2.16E-03
organonitrogen compound metabolic process (GO:1901564)	5013	277	170.92	+	1.62	4.55E-18	3.10E-15
response to external biotic stimulus (GO:0043207)	1432	79	48.83	+	1.62	4.83E-05	2.20E-03
intracellular signal transduction (GO:0035556)	1511	83	51.52	+	1.61	2.98E-05	1.49E-03
regulation of catabolic process (GO:0009894)	987	54	33.65	+	1.60	9.47E-04	2.72E-02
intracellular transport (GO:0046907)	1360	74	46.37	+	1.60	1.19E-04	4.79E-03
positive regulation of signal transduction (GO:0009967)	1528	83	52.10	+	1.59	4.46E-05	2.05E-03
negative regulation of molecular function (GO:0044092)	1150	62	39.21	+	1.58	6.33E-04	1.96E-02
response to nitrogen compound (GO:1901698)	1062	57	36.21	+	1.57	1.05E-03	2.95E-02
